皮肤名称,市场哈希名称,平台,平台物品ID
FN57 | 狩猎利器 (崭新出厂),Five-SeveN | Fowl Play (Factory New),C5,22354
FN57 | 狩猎利器 (崭新出厂),Five-SeveN | Fowl Play (Factory New),BUFF,34733
FN57 | 狩猎利器 (崭新出厂),Five-SeveN | Fowl Play (Factory New),YOUPIN,2589
FN57 | 狩猎利器 (崭新出厂),Five-SeveN | Fowl Play (Factory New),HALOSKINS,22354
M4A4 | 杀意大名 (战痕累累),M4A4 | Evil Daimyo (Battle-Scarred),C5,22355
M4A4 | 杀意大名 (战痕累累),M4A4 | Evil Daimyo (Battle-Scarred),YOUPIN,51809
M4A4 | 杀意大名 (战痕累累),M4A4 | Evil Daimyo (Battle-Scarred),BUFF,35285
M4A4 | 杀意大名 (战痕累累),M4A4 | Evil Daimyo (Battle-Scarred),HALOSKINS,22355
M4A4 | 狮鹫 (久经沙场),M4A4 | Griffin (Field-Tested),BUFF,35296
M4A4 | 狮鹫 (久经沙场),M4A4 | Griffin (Field-Tested),C5,22356
M4A4 | 狮鹫 (久经沙场),M4A4 | Griffin (Field-Tested),YOUPIN,42899
M4A4 | 狮鹫 (久经沙场),M4A4 | Griffin (Field-Tested),HALOSKINS,22356
FN57 | 耍猴把戏 (破损不堪),Five-SeveN | Monkey Business (Well-Worn),C5,22357
FN57 | 耍猴把戏 (破损不堪),Five-SeveN | Monkey Business (Well-Worn),YOUPIN,46110
FN57 | 耍猴把戏 (破损不堪),Five-SeveN | Monkey Business (Well-Worn),HALOSKINS,22357
FN57 | 耍猴把戏 (破损不堪),Five-SeveN | Monkey Business (Well-Worn),BUFF,34758
AK-47 | 蓝色层压板 (略有磨损),AK-47 | Blue Laminate (Minimal Wear),C5,22358
AK-47 | 蓝色层压板 (略有磨损),AK-47 | Blue Laminate (Minimal Wear),YOUPIN,984
AK-47 | 蓝色层压板 (略有磨损),AK-47 | Blue Laminate (Minimal Wear),BUFF,33874
AK-47 | 蓝色层压板 (略有磨损),AK-47 | Blue Laminate (Minimal Wear),HALOSKINS,22358
P2000 | 珊瑚树 (略有磨损),P2000 | Corticera (Minimal Wear),C5,22359
P2000 | 珊瑚树 (略有磨损),P2000 | Corticera (Minimal Wear),BUFF,35912
P2000 | 珊瑚树 (略有磨损),P2000 | Corticera (Minimal Wear),YOUPIN,49206
P2000 | 珊瑚树 (略有磨损),P2000 | Corticera (Minimal Wear),HALOSKINS,22359
沙漠之鹰 | 阴谋者 (久经沙场),Desert Eagle | Conspiracy (Field-Tested),C5,22360
沙漠之鹰 | 阴谋者 (久经沙场),Desert Eagle | Conspiracy (Field-Tested),BUFF,34400
沙漠之鹰 | 阴谋者 (久经沙场),Desert Eagle | Conspiracy (Field-Tested),YOUPIN,5361
沙漠之鹰 | 阴谋者 (久经沙场),Desert Eagle | Conspiracy (Field-Tested),HALOSKINS,22360
FN57 | 氮化处理 (久经沙场),Five-SeveN | Nitro (Field-Tested),YOUPIN,55737
FN57 | 氮化处理 (久经沙场),Five-SeveN | Nitro (Field-Tested),C5,22361
FN57 | 氮化处理 (久经沙场),Five-SeveN | Nitro (Field-Tested),BUFF,34771
FN57 | 氮化处理 (久经沙场),Five-SeveN | Nitro (Field-Tested),HALOSKINS,22361
FN57 | 表面淬火 (久经沙场),Five-SeveN | Case Hardened (Field-Tested),BUFF,34716
FN57 | 表面淬火 (久经沙场),Five-SeveN | Case Hardened (Field-Tested),C5,22362
FN57 | 表面淬火 (久经沙场),Five-SeveN | Case Hardened (Field-Tested),YOUPIN,2745
FN57 | 表面淬火 (久经沙场),Five-SeveN | Case Hardened (Field-Tested),HALOSKINS,22362
UMP-45 | 车王 (久经沙场),UMP-45 | Grand Prix (Field-Tested),C5,22363
UMP-45 | 车王 (久经沙场),UMP-45 | Grand Prix (Field-Tested),YOUPIN,4300
UMP-45 | 车王 (久经沙场),UMP-45 | Grand Prix (Field-Tested),BUFF,42100
UMP-45 | 车王 (久经沙场),UMP-45 | Grand Prix (Field-Tested),HALOSKINS,22363
SG 553 | 军队之辉 (略有磨损),SG 553 | Army Sheen (Minimal Wear),C5,22364
SG 553 | 军队之辉 (略有磨损),SG 553 | Army Sheen (Minimal Wear),HALOSKINS,22364
SG 553 | 军队之辉 (略有磨损),SG 553 | Army Sheen (Minimal Wear),BUFF,36446
SG 553 | 军队之辉 (略有磨损),SG 553 | Army Sheen (Minimal Wear),YOUPIN,1400
Tec-9 | 沙尘暴 (久经沙场),Tec-9 | Sandstorm (Field-Tested),BUFF,42034
Tec-9 | 沙尘暴 (久经沙场),Tec-9 | Sandstorm (Field-Tested),C5,22365
Tec-9 | 沙尘暴 (久经沙场),Tec-9 | Sandstorm (Field-Tested),YOUPIN,981
Tec-9 | 沙尘暴 (久经沙场),Tec-9 | Sandstorm (Field-Tested),HALOSKINS,22365
CZ75自动型（StatTrak™） | 先驱 (久经沙场),StatTrak™ CZ75-Auto | Pole Position (Field-Tested),YOUPIN,2268
CZ75自动型（StatTrak™） | 先驱 (久经沙场),StatTrak™ CZ75-Auto | Pole Position (Field-Tested),C5,22366
CZ75自动型（StatTrak™） | 先驱 (久经沙场),StatTrak™ CZ75-Auto | Pole Position (Field-Tested),BUFF,38347
CZ75自动型（StatTrak™） | 先驱 (久经沙场),StatTrak™ CZ75-Auto | Pole Position (Field-Tested),HALOSKINS,22366
SG 553 | 军队之辉 (久经沙场),SG 553 | Army Sheen (Field-Tested),C5,22367
SG 553 | 军队之辉 (久经沙场),SG 553 | Army Sheen (Field-Tested),BUFF,36445
SG 553 | 军队之辉 (久经沙场),SG 553 | Army Sheen (Field-Tested),YOUPIN,35227
SG 553 | 军队之辉 (久经沙场),SG 553 | Army Sheen (Field-Tested),HALOSKINS,22367
沙漠之鹰（StatTrak™） | 纳迦蛇神 (久经沙场),StatTrak™ Desert Eagle | Naga (Field-Tested),BUFF,38438
沙漠之鹰（StatTrak™） | 纳迦蛇神 (久经沙场),StatTrak™ Desert Eagle | Naga (Field-Tested),C5,22368
沙漠之鹰（StatTrak™） | 纳迦蛇神 (久经沙场),StatTrak™ Desert Eagle | Naga (Field-Tested),YOUPIN,11208
沙漠之鹰（StatTrak™） | 纳迦蛇神 (久经沙场),StatTrak™ Desert Eagle | Naga (Field-Tested),HALOSKINS,22368
P2000 | 银质 (崭新出厂),P2000 | Silver (Factory New),YOUPIN,2621
P2000 | 银质 (崭新出厂),P2000 | Silver (Factory New),C5,22369
P2000 | 银质 (崭新出厂),P2000 | Silver (Factory New),BUFF,35973
P2000 | 银质 (崭新出厂),P2000 | Silver (Factory New),HALOSKINS,22369
格洛克18型（StatTrak™） | 亡者之寝 (崭新出厂),StatTrak™ Glock-18 | Catacombs (Factory New),C5,22370
格洛克18型（StatTrak™） | 亡者之寝 (崭新出厂),StatTrak™ Glock-18 | Catacombs (Factory New),YOUPIN,1036
格洛克18型（StatTrak™） | 亡者之寝 (崭新出厂),StatTrak™ Glock-18 | Catacombs (Factory New),BUFF,38709
格洛克18型（StatTrak™） | 亡者之寝 (崭新出厂),StatTrak™ Glock-18 | Catacombs (Factory New),HALOSKINS,22370
MAG-7（StatTrak™） | 炽热 (略有磨损),StatTrak™ MAG-7 | Heat (Minimal Wear),BUFF,38988
MAG-7（StatTrak™） | 炽热 (略有磨损),StatTrak™ MAG-7 | Heat (Minimal Wear),YOUPIN,46388
MAG-7（StatTrak™） | 炽热 (略有磨损),StatTrak™ MAG-7 | Heat (Minimal Wear),C5,22371
MAG-7（StatTrak™） | 炽热 (略有磨损),StatTrak™ MAG-7 | Heat (Minimal Wear),HALOSKINS,22371
M4A1消音版 | 翼蜥 (久经沙场),M4A1-S | Basilisk (Field-Tested),HALOSKINS,22372
M4A1消音版 | 翼蜥 (久经沙场),M4A1-S | Basilisk (Field-Tested),C5,22372
M4A1消音版 | 翼蜥 (久经沙场),M4A1-S | Basilisk (Field-Tested),YOUPIN,43925
M4A1消音版 | 翼蜥 (久经沙场),M4A1-S | Basilisk (Field-Tested),BUFF,35166
AUG | 力矩 (略有磨损),AUG | Torque (Minimal Wear),C5,22373
AUG | 力矩 (略有磨损),AUG | Torque (Minimal Wear),YOUPIN,1621
AUG | 力矩 (略有磨损),AUG | Torque (Minimal Wear),BUFF,34056
AUG | 力矩 (略有磨损),AUG | Torque (Minimal Wear),HALOSKINS,22373
格洛克18型 | 钢铁禁锢 (久经沙场),Glock-18 | Steel Disruption (Field-Tested),YOUPIN,57356
格洛克18型 | 钢铁禁锢 (久经沙场),Glock-18 | Steel Disruption (Field-Tested),C5,22374
格洛克18型 | 钢铁禁锢 (久经沙场),Glock-18 | Steel Disruption (Field-Tested),BUFF,35061
格洛克18型 | 钢铁禁锢 (久经沙场),Glock-18 | Steel Disruption (Field-Tested),HALOSKINS,22374
SG 553 | 电子脉冲 (略有磨损),SG 553 | Pulse (Minimal Wear),C5,22375
SG 553 | 电子脉冲 (略有磨损),SG 553 | Pulse (Minimal Wear),YOUPIN,2407
SG 553 | 电子脉冲 (略有磨损),SG 553 | Pulse (Minimal Wear),BUFF,36484
SG 553 | 电子脉冲 (略有磨损),SG 553 | Pulse (Minimal Wear),HALOSKINS,22375
MAC-10（StatTrak™） | 冉吉 (崭新出厂),StatTrak™ MAC-10 | Rangeen (Factory New),C5,22376
MAC-10（StatTrak™） | 冉吉 (崭新出厂),StatTrak™ MAC-10 | Rangeen (Factory New),BUFF,38957
MAC-10（StatTrak™） | 冉吉 (崭新出厂),StatTrak™ MAC-10 | Rangeen (Factory New),YOUPIN,825
MAC-10（StatTrak™） | 冉吉 (崭新出厂),StatTrak™ MAC-10 | Rangeen (Factory New),HALOSKINS,22376
Tec-9（StatTrak™） | 艾萨克 (战痕累累),StatTrak™ Tec-9 | Isaac (Battle-Scarred),C5,22377
Tec-9（StatTrak™） | 艾萨克 (战痕累累),StatTrak™ Tec-9 | Isaac (Battle-Scarred),YOUPIN,50462
Tec-9（StatTrak™） | 艾萨克 (战痕累累),StatTrak™ Tec-9 | Isaac (Battle-Scarred),BUFF,39649
Tec-9（StatTrak™） | 艾萨克 (战痕累累),StatTrak™ Tec-9 | Isaac (Battle-Scarred),HALOSKINS,22377
内格夫（StatTrak™） | 大嘴巴 (久经沙场),StatTrak™ Negev | Loudmouth (Field-Tested),BUFF,39133
内格夫（StatTrak™） | 大嘴巴 (久经沙场),StatTrak™ Negev | Loudmouth (Field-Tested),YOUPIN,43289
